"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Acessibilidade","1","0","Conformidade WCAG","0"
"0","","0","Formulário de Contato","1","0","Submissão com Sucesso (Happy Path)","0"
"0","","0","Formulário de Contato","1","0","Validação de Erros - E-mail Inválido","0"
"0","","0","Formulário de Contato","1","0","Validação de Erros - Campos Vazios","0"
"0","","0","Navegação e UI Geral","1","0","Navegação via Menu Principal","0"
"0","","0","Navegação e UI Geral","1","0","Alternância de Tema (Dark Mode)","0"
"0","","0","Menu de Navegação Mobile","1","0","Abertura e Fechamento do Menu Hamburguer","0"
"0","","0","Navegação e UI Geral","1","0","Internacionalização (i18n)","0"
"0","","0","Seção de Portfólio","1","0","Validação do Projeto 'Estante de Livros'","0"
"0","","0","Seção de Portfólio","1","0","Validação do Projeto 'Mario Jump'","0"
